EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-30600004	CIL 03, 06435 (p 2328,178) = CIL 03, 10181,1 = CIL 03, 13339,2	Dalmatia	Gradcina			milites; sigilla impressa; tituli fabricationis	"Leg(io) VIII Aug(usta)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T398761 | https://www.trismegistos.org/text/398761	45.2286111	17.7097222	http://www.trismegistos.org/place/36062		
EDCS-55200058	FRMEC p 100	Dalmatia	Ivosevci / Burnum			milites; sigilla impressa; tituli fabricationis	"[Leg(io)] VIII Aug(usta)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T399557 | https://www.trismegistos.org/text/399557	44.0305813	15.9930516	http://www.trismegistos.org/place/29388		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$FRMEC-100.jpg
EDCS-31400694	CIL 03, 10181,2 (p 2328,178) = AE 1890, 00052	Dalmatia	Podgrade / Asseria	1	70	milites; sigilla impressa; tituli fabricationis	"Leg(io) VIII Aug(usta)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD054214;T184690 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD054214 | https://www.trismegistos.org/text/184690	44.0206698	15.6680389	http://www.trismegistos.org/place/28793		
EDCS-31400408	CIL 03, 13339,1 = AE 1893, 00007	Dalmatia	Podgrade / Asseria	1	70	milites; sigilla impressa; tituli fabricationis	"[Le]g(io) VIII [Aug(usta)]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD060547;T186065 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD060547 | https://www.trismegistos.org/text/186065	44.0206698	15.6680389	http://www.trismegistos.org/place/28793		
EDCS-29900063	AE 1893, 00009	Dalmatia	Tomislavgrad / Duvno / Zupanjac / Delminium			sigilla impressa; tituli fabricationis	"Leg(io) VIII Aug(usta)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=T398446 | https://www.trismegistos.org/text/398446	43.7187433	17.2236492	http://www.trismegistos.org/place/29556		
EDCS-28400159	CIL 03, 02908 (p 1635, 2273) = D 02280 = IGLFriuli 00013 = Horster p 396	Dalmatia	Zadar / Iader	18	19	Augusti/Augustae; milites; ordo senatorius; tituli operum; tria nomina; viri	Ti(berius) Caesar divi Aug(usti) f(ilius) / Augustus imp(erator) pontif(ex) max(imus) / trib(unicia) potest(ate) XX co(n)s(ul) III / leg(io) VII leg(io) XI / P(ublio) Cornelio Dolabella / leg(ato) pr(o) pr(aetore)	http://db.edcs.eu/epigr/partner.php?param=CO0047944;HD032704;T182222;lu_21501;de_01dessuoft%23page/459/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD032704 | https://www.trismegistos.org/text/182222 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0047944	44.119371	15.2313648	http://www.trismegistos.org/place/28796		http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
