EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-30600004	CIL 03, 06435 (p 2328,178) = CIL 03, 10181,1 = CIL 03, 13339,2	Dalmatia	Gradcina			milites; sigilla impressa; tituli fabricationis	"Leg(io) VIII Aug(usta)
material: opus figlinae"		45.2286111	17.7097222			
EDCS-55200058	FRMEC p 100	Dalmatia	Ivosevci / Burnum			milites; sigilla impressa; tituli fabricationis	"[Leg(io)] VIII Aug(usta)
material: opus figlinae"		44.0305813	15.9930516			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$FRMEC-100.jpg
EDCS-31400694	CIL 03, 10181,2 (p 2328,178) = AE 1890, 00052	Dalmatia	Podgrade / Asseria	1	70	milites; sigilla impressa; tituli fabricationis	"Leg(io) VIII Aug(usta)
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD054214 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD054214	44.0206698	15.6680389			
EDCS-31400408	CIL 03, 13339,1 = AE 1893, 00007	Dalmatia	Podgrade / Asseria	1	70	milites; sigilla impressa; tituli fabricationis	"[Le]g(io) VIII [Aug(usta)]
material: opus figlinae"	http://db.edcs.eu/epigr/partner.php?param=HD060547 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD060547	44.0206698	15.6680389			
EDCS-29900063	AE 1893, 00009	Dalmatia	Tomislavgrad / Duvno / Zupanjac / Delminium			sigilla impressa; tituli fabricationis	"Leg(io) VIII Aug(usta)
material: opus figlinae"		43.7187433	17.2236492			
EDCS-28400159	CIL 03, 02908 (p 1635, 2273) = D 02280 = IGLFriuli 00013 = Horster p 396	Dalmatia	Zadar / Iader	18	19	Augusti/Augustae; milites; ordo senatorius; tituli operum; tria nomina; viri	Ti(berius) Caesar divi Aug(usti) f(ilius) / Augustus imp(erator) pontif(ex) max(imus) / trib(unicia) potest(ate) XX co(n)s(ul) III / leg(io) VII leg(io) XI / P(ublio) Cornelio Dolabella / leg(ato) pr(o) pr(aetore)	http://db.edcs.eu/epigr/partner.php?param=CO0047944;HD032704;lu_21501;de_01dessuoft%23page/459/mode/2up | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD032704 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0047944	44.119371	15.2313648			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-31500090	CIL 03, 13394 (p 2328,166)	Pannonia inferior	Novi Banovci / Uj-Banovce / Burgenae			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"		44.949859	20.2783228			
EDCS-31500091	CIL 03, 13394b (p 2328,166)	Pannonia inferior	Novi Banovci / Uj-Banovce / Burgenae			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia) K()
material: opus figlinae"		44.949859	20.2783228			
EDCS-29900658	CIL 03, 10666a (p 2328,187)	Pannonia inferior	Osijek / Esseg / Eszeg / Eszek / Mursa			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia) P(ia) F(idelis)
material: opus figlinae"		45.5549624	18.6955144			
EDCS-29900659	CIL 03, 10666b (p 2328,187)	Pannonia inferior	Osijek / Esseg / Eszeg / Eszek / Mursa			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia)
material: opus figlinae"		45.5549624	18.6955144			
EDCS-29900638	CIL 03, 10666 (p 2328,187)	Pannonia inferior	Sremska Mitrovica / Mitrovicz / Sirmium			milites; sigilla impressa; tituli fabricationis	"Leg(io) VII Cl(audia) P(ia) F(idelis)
material: opus figlinae"		44.9794968	19.6209662			
