Reference,MonumentType
"AE 1904, 172",stela
"AE 1940, 177",altar
"AE 1981, 669",altar
"AE 1991, 1290",stela
"AE 1991, 1291",stela
"AE 1994, 1355",stela
"AE 1995, 1231",stela
"AE 1995, 1232",stela
"AE 1999, 1230",stela
"AE 2000, 1174",stela
"AE 2000, 1176",stela
"AE 2003, 1330",stela
"CIL 3, 14244/1",funerary inscription
"CIL 3, 14248",inscription fragment
"CIL 3, 14699",inscription fragment
"CIL 3, 14931",stela
"CIL 3, 14932",stela
"CIL 3, 14946",stela
"CIL 3, 1813",stela
"CIL 3, 1814",funerary inscription
"CIL 3, 1818",funerary inscription
"CIL 3, 2014",stela
"CIL 3, 2019",funerary inscription
"CIL 3, 2022",funerary inscription
"CIL 3, 2033",stela
"CIL 3, 2040",stela
"CIL 3, 2041",funerary inscription
"CIL 3, 2048",stela
"CIL 3, 2071",funerary inscription
"CIL 3, 2678",altar
"CIL 3, 2709",stela
"CIL 3, 2710",stela
"CIL 3, 2714",funerary inscription
"CIL 3, 2715",funerary inscription
"CIL 3, 2716",stela
"CIL 3, 2717",funerary inscription
"CIL 3, 2733",funerary inscription
"CIL 3, 2772",stela
"CIL 3, 2885",funerary inscription
"CIL 3, 2913",stela
"CIL 3, 2914",funerary inscription
"CIL 3, 3162a",stela
"CIL 3, 8493",stela
"CIL 3, 8723",stela
"CIL 3, 8732",funerary inscription
"CIL 3, 8735",funerary inscription
"CIL 3, 8760",stela
"CIL 3, 8764",altar
"CIL 3, 9711",funerary inscription
"CIL 3, 9733",stela
"CIL 3, 9734",stela
"CIL 3, 9737",stela
"CIL 3, 9741",stela
"CIL 3, 9742",funerary inscription
"CIL 3, 9761",funerary inscription
"CIL 3, 9939",stela
"ILJug 2, 670",stela
"ILJug 3, 1920",stela
"ILJug 3, 1921",stela
"ILJug 3, 1950",stela
"ILJug 3, 2028",inscription fragment
"ILJug 3, 2090",altar
"ILJug 3, 2091",stela
"ILJug 3, 2093",altar
"ILJug 3, 2280",stela
"ILJug 3, 2600",stela
"ILJug 3, 2601",stela
Other DB Matijević 2017: 126-127,stela
Tončinić 40,stela
Tončinić 66,stela
