Reference,Settlement,ExtraInfo,MonumentType
"CIL, 03, 08723",Salona,East Necropolis,stela
"AE, 1991, 1291",Salona,East Necropolis,stela
"ILJug, 3, 2090",Salona,East Necropolis,altar
"AE, 1991, 1290",Salona,East Necropolis,stela
"CIL, 03, 03198a",Salona,Grad Diokletianpalast Mausoleum,boundary inscription
"ILJug, 3, 2028",Salona,"Modern Klis, possibly from the East Necropolis originally",inscription fragment
"ILJug, 3, 2093",Salona,Near Porta Caesarea,altar
"ILJug, 3, 2091",Salona,North Necropolis,stela
"AE, 1904, 0172",Salona,North Necropolis,stela
"ILJug, 3, 2280",Salona,North Necropolis,stela
"ILJug, 3, 2601",Salona,North Necropolis,stela
"CIL, 03, 02048",Salona,North Necropolis,stela
"CIL, 03, 14248",Salona,North Necropolis,inscription fragment
"ILJug, 3, 2600",Salona,"North Necropolis, Kapljuč",stela
