MonumentID,Reference,Monument_Type,Media
1,"CIL 03, 02908","construction dedication",http://lupa.at/21501/photos/1
2,"CIL 03, 02733","funerary inscription",
3,"CIL 03, 03198a","construction dedication",http://lupa.at/21500/photos/1
4,"Tončinić 066",stela,http://lupa.at/21485/photos/1
5,"AE 1999, 1230",stela,http://lupa.at/21432/photos/1
6,"CIL 03, 02709",stela,http://lupa.at/21433/photos/1
7,"CIL 03, 03162a",stela,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$CIL_03_03162a.jpg
8,"ILJug 3, 2091",stela,http://lupa.at/21435/photos/1
9,"CIL 03, 08723",stela,http://lupa.at/21436/photos/1
10,"AE 1995, 1231",stela,http://lupa.at/21437/photos/1
11,"CIL 03, 02913",stela,http://lupa.at/21438/photos/1
12,"CIL 03, 09733",stela,http://lupa.at/21439/photos/1
13,"CIL 03, 08735","funerary inscription",http://lupa.at/21440/photos/1
14,"CIL 03, 02014",stela,http://lupa.at/21506/photos/1
15,"CIL 03, 08487",titulus,http://lupa.at/21441/photos/1
16,"CIL 03, 02710",stela,http://lupa.at/21443/photos/1
17,"CIL 03, 02914","funerary inscription",
18,"ILJug 3, 1949",stela,http://lupa.at/21444/photos/1
19,"CIL 03, 02022","funerary inscription",
20,"CIL 03, 01813",stela,http://lupa.at/21445/photos/1
21,"CIL 03, 06364",titulus,http://lupa.at/21446/photos/1
22,"CIL 03, 02033",stela,
23,"CIL 03, 07386",stela,
24,"ILJug 3, 2105",stela,http://lupa.at/21447/photos/1
25,"ILJug 3, 1950",stela,http://lupa.at/21448/photos/1
26,"AE 1994, 1355",stela,http://lupa.at/21449/photos/1
27,"CIL 03, 02714","funerary inscription",
28,"CIL 03, 02885","funerary inscription",
29,"CIL 03, 02715","funerary inscription",
30,"CIL 03, 13976",stela,http://lupa.at/21450/photos/1
31,"CIL 03, 09734",stela,http://lupa.at/21451/photos/1
32,"CIL 03, 02019","funerary inscription",http://lupa.at/21452/photos/1
33,"CIL 03, 14244/1","funerary inscription",
34,"CIL 03, 14931",stela,http://lupa.at/21453/photos/1
35,"CIL 03, 01814","funerary inscription",http://lupa.at/21454
36,"CIL 17-4, 00363",milestone,
37,"CIL 17-4, 00342",milestone,
38,"CIL 03, 03202","construction dedication",http://lupa.at/24644/photos/1
39,"CIL 03, 14514",stela,
40,"AE 2000, 1174",stela,http://lupa.at/21455/photos/1
41,"ILJug 3, 1920",stela,http://lupa.at/21456/photos/1
42,"AE 1996, 1215",titulus,http://lupa.at/21457/photos/1
43,"CIL 03, 09737",stela,http://lupa.at/21458/photos/1
44,"CIL 03, 02040",stela,http://lupa.at/21459/photos/1
45,"CIL 03, 02041","funerary inscription",http://lupa.at/21514/photos/1
46,"CIL 03, 09939",stela,http://lupa.at/21460/photos/1
47,"AE 1904, 0172",stela,http://lupa.at/21461/photos/1
48,"CIL 03, 14932",stela,http://lupa.at/21462/photos/1
49,"Tončinić 040",stela,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00040.jpg;$Dodig-01_00004_1.jpg;$Dodig-01_00004_2.jpg
50,"AE 1991, 1291",stela,http://lupa.at/21464/photos/1
51,"AE 1995, 1232",stela,http://lupa.at/21465/photos/1
52,"CIL 03, 09738",stela,http://lupa.at/21466/photos/1
53,"CIL 03, 14946",stela,http://lupa.at/21467/photos/1
54,"ILJug 3, 1916",titulus,http://lupa.at/21468/photos/1
55,"CIL 03, 02716",stela,http://lupa.at/21469/photos/1
56,"CIL 03, 13978",stela,http://lupa.at/21470/photos/1
57,"CIL 03, 14933",stela,http://lupa.at/21471/photos/1
58,"CIL 03, 02772",stela,
59,"ILJug 3, 2280",stela,http://lupa.at/21472/photos/1
60,"ILJug 3, 2601",stela,http://lupa.at/21473/photos/1
61,"CIL 03, 01818","funerary inscription",
62,"CIL 03, 02048",stela,
63,"AE 1940, 0177",altar,http://lupa.at/21475/photos/1
64,"CIL 03, 08493",stela,http://lupa.at/21476/photos/1
65,"ILJug 3, 2090",altar,http://lupa.at/21477/photos/1
66,"CIL 03, 08760",stela,http://lupa.at/21478/photos/1
67,"ILJug 2, 0670",stela,http://lupa.at/21479/photos/1
68,"AE 1991, 1290",stela,http://lupa.at/21480/photos/1
69,"AE 2003, 1330",stela,http://lupa.at/21481/photos/1
70,"CIL 03, 02717","funerary inscription",
71,"CIL 03, 09761","funerary inscription",
72,"ILJug 3, 1921",stela,http://lupa.at/21482/photos/1
73,"CIL 03, 08764",altar,http://lupa.at/21483/photos/1
74,"CIL 03, 09712",stela,http://lupa.at/21484/photos/1
75,"CIL 03, 02678",altar,http://lupa.at/21486/photos/1
76,"CIL 03, 09741",stela,http://lupa.at/21487/photos/1
77,"ILJug 3, 2093",altar,
78,"ILJug 3, 2600",stela,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Salone-01_00004.jpg;$Legio-VII_00070.jpg
79,"CIL 03, 09742","funerary inscription",
80,"CIL 03, 02071","funerary inscription",
81,"AE 2000, 1176",stela,http://lupa.at/21490/photos/1
82,"CIL 03, 08732","funerary inscription",http://lupa.at/21491/photos/1
83,"CIL 03, 09864a","boundary inscription",http://lupa.at/21529/photos/1
84,"CIL 03, 06826",stela,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$ZPE_44_98.jpg
85,"CIL 03, 06827",stela,
86,"Other Ref Bean 1959, 93",stela,
87,"Other Ref IGRRP 3, 1476",stela,
88,"Other Ref Matijević 2017: fig. 1",stela,
89,"Tončinić 076",stela,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00076.jpg
90,"CIL 03, 09711","funerary inscription",
91,"CIL 03, 14699","inscription fragment",http://lupa.at/21493/photos/1
92,"CIL 03, 14992","funerary inscription",http://lupa.at/21523/photos/1
93,"CIL 03, 08763","funerary inscription",
94,"ILJug 3, 2028","inscription fragment",http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00081.jpg
95,"CIL 03, 14248","inscription fragment",http://lupa.at/21495/photos/1
96,"CIL 03, 08767","inscription fragment",
97,"ILJug 3, 3239","inscription fragment",
98,"CIL 03, 12909","funerary inscription",
99,"Tončinić 086","funerary inscription",http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00086.jpg
100,"ILJug 2, 0733",stela,
101,"CIL 03, 08687","sacral monument",http://lupa.at/21497/photos/1
102,"AE 1981, 0669","sacral altar",http://lupa.at/21498/photos/1
103,"CIL 03, 14951","sacral monument",
104,"CIL 03, 09973","boundary inscription",http://lupa.at/21502/photos/1
105,"CIL 03, 02882","boundary inscription",
106,"CIL 03, 08472","boundary inscription",http://lupa.at/21503/photos/1
107,"CIL 03, 09832","boundary inscription",http://db.edcs.eu/epigr/ae/ae1890/ae1890-02.pdf
108,"CIL 03, 12794","boundary inscription",http://lupa.at/21504/photos/1
109,"AE 2003, 1332","boundary inscription",
110,"Tončinić 100",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00100.jpg
111,"Tončinić 101",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00101.jpg
112,"Tončinić 102",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00102.jpg
113,"Tončinić 103",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00103.jpg
114,"Tončinić 104",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00104.jpg
115,"Tončinić 105",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00105.jpg
116,"Tončinić 106",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00106.jpg
117,"Tončinić 107",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00107.jpg
118,"Tončinić 108",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00108.jpg
119,"Tončinić 109",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00109.jpg
120,"Tončinić 110",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00110.jpg
121,"Tončinić 111",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00111.jpg
122,"Tončinić 112",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00112.jpg
123,"Tončinić 113",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00113.jpg
124,"Tončinić 114",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00114.jpg
125,"Tončinić 115",tegula,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$Legio-VII_00115.jpg
126,"AE 1994, 1356",stela,
127,"AE 1994, 1357",stela,
128,"AE 1994, 1358",stela,http://db.edcs.eu/epigr/bilder.php?s_language=en&bild=$PF_AE_1994_01358.jpg;$PF_AE_1994_01358_1.jpg;$AE_1994_01358.jpg;pp&nr=1
129,"Other Ref MAMA 04, 0237",stela,
130,"Other Ref Medini 1984: fig. 2",stela,
