1,1,2,political supporter,,
2,2,4,both,,
3,3,5,commemorated,,
4,4,6,commemorated,,
5,5,7,commemorated,,
6,6,8,commemorated,,
7,7,9,commemorated,,
8,8,10,commemorated,,
9,9,11,commemorated,,
10,10,12,commemorated,,
11,11,13,commemorated,,
12,12,14,commemorated,,
13,13,15,both,,
14,14,15,commemorated,,
15,15,16,commemorated,,
16,16,17,commemorator,,
17,17,18,commemorated,,
18,18,19,both,,
19,19,20,commemorated,,
20,20,21,commemorated,,
21,21,22,commemorated,,
22,22,23,commemorated,,
23,23,24,commemorated,,
24,24,25,commemorated,,
25,25,26,commemorated,,
26,26,27,commemorated,,
27,27,28,commemorated,,
28,28,29,commemorated,,
29,29,30,,,
30,30,31,commemorated,,
31,31,32,commemorated,,
32,32,33,commemorated,,
33,33,34,commemorated,,
34,34,35,commemorated,,
35,35,40,commemorated,,
36,36,41,commemorated,,
37,37,42,both,,
38,38,43,commemorated,,
39,39,44,commemorated,,
40,40,45,both,,
41,41,46,commemorated,,
42,42,47,,,
43,43,47,,,
44,44,48,commemorated,,
45,45,49,,,
46,46,50,commemorated,,
47,47,51,commemorated,,
48,48,52,commemorated,,
49,49,53,commemorated,,
50,50,54,commemorated,,
51,51,55,commemorated,,
52,52,56,,,
53,53,57,,,
54,54,58,commemorated,,
55,55,59,commemorated,,
56,56,60,commemorator,,
57,57,61,commemorated,,
58,58,61,both,,
59,59,62,commemorated,,
60,60,63,commemorated,,
61,61,64,,,
62,62,65,commemorated,,
63,63,66,both,,
64,64,67,commemorator,,
65,65,68,commemorated,,
66,66,69,commemorated,,
67,67,70,commemorated,,
68,68,71,commemorated,,
69,69,72,commemorated,,
70,70,73,both,,
71,71,74,commemorated,,
72,72,75,both,,
73,73,76,commemorated,,
74,74,77,commemorated,,
75,75,78,both,,
76,76,79,commemorated,,
77,77,80,commemorated,,
78,78,81,commemorated,,
79,79,82,commemorated,,
80,80,83,administrator,,
81,81,84,commemorated,,
82,82,84,commemorator,,
83,83,85,commemorated,,
84,84,86,both,,
85,85,87,commemorator,,
86,86,87,commemorator,,
87,87,88,commemorated,,
88,88,89,commemorated,,
89,89,89,commemorator,,
90,90,90,commemorated,,
91,91,91,,,
92,92,92,,,
93,93,93,,,
94,94,94,,,
95,95,95,,,
96,96,96,,,
97,97,97,,,
98,98,98,both,,
99,99,100,,,
100,100,101,dedicant,,
101,101,103,dedicant,,
102,102,104,administrator,107,"Tončinić 2011, 116-118, 123 cat. Nos. 93, 99"
103,103,105,administrator,,
104,104,106,administrator,,
105,105,107,administrator,,
106,106,108,administrator,,
107,107,109,administrator,102,"Tončinić 2011, 116-118, 123 cat. Nos. 93, 99"
108,108,129,both,,
109,109,5,commemorator,,
110,110,12,commemorator,,
111,111,29,commemorator,,
112,112,31,commemorator,,
113,113,34,commemorator,,
114,114,14,commemorator,,
115,115,26,commemorator,,
116,116,40,commemorator,,
117,117,43,commemorator,,
118,40,44,commemorator,,
119,118,48,commemorator,,
120,119,55,commemorator,,
121,120,65,commemorator,,
122,121,68,commemorator,,
123,122,69,commemorator,,
124,123,69,commemorator,,
125,124,72,commemorator,,
126,125,76,commemorator,,
127,126,18,commemorator,,
128,127,49,commemorator,,
129,128,39,,,
130,129,99,,,
131,130,126,commemorated,,
132,131,127,commemorated,,
133,132,128,commemorated,,
134,133,128,commemorator,,
135,134,127,commemorator,,
136,135,126,commemorator,,
137,136,130,,,
138,137,107,administrator,,
139,56,102,dedicant,,
