Reference,Monument_Reference,Ancient_Site,Modern_Find_Site,MonumentType,Mention_Legio_VII
001,"AE 1999, 1230",Tilurium,Vojnić,stela,yes
002,"CIL 03, 02709",Tilurium,Gardun,stela,yes
003,"CIL 03, 03162a",,,stela,yes
004,"ILJug 3, 2091",Salona,Solin,stela,yes
005,"CIL 03, 08723",Salona,Solin,stela,yes
006,"AE 1995, 1231",Tilurium,Vojnić,stela,yes
007,"CIL 03, 02913",Iadera,Zadar,stela,yes
008,"CIL 03, 09733",Tilurium,Vojnić,stela,yes
009,"CIL 03, 08735",Salona,Solin,funerary inscription,yes
010,"CIL 03, 02014",Salona,Solin,stela,yes
011,"CIL 03, 08487",Pagus Scunasticus,Filovača,titulus,yes
012,"CIL 03, 02710",Tilurium,Gardun,stela,yes
013,"CIL 03, 02914",Iadera,Zadar,funerary inscription,yes
015,"CIL 03, 02022",Salona,Solin,funerary inscription,yes
016,"CIL 03, 01813",Narona,Vid,stela,yes
017,"CIL 03, 06364",Pagus Scunasticus,Glavica-Ljubuški,titulus,yes
018,"CIL 03, 02033",Salona,Solin,stela,yes
020,"ILJug 3, 1950",Tilurium,Vojnić,stela,yes
021,"AE 1994, 1355",,Dugopolje,stela,yes
022,"CIL 03, 02714",Tilurium,Vojnić,funerary inscription,yes
023,"CIL 03, 02885",Corinium,Donji Karin,funerary inscription,yes
024,"CIL 03, 02715",Tilurium,Košute,funerary inscription,yes
026,"CIL 03, 09734",Tilurium,Gardun,stela,yes
027,"CIL 03, 02019",Salona,Solin,funerary inscription,yes
028,"CIL 03, 14244/1",Salona,Solin,funerary inscription,yes
029,"CIL 03, 14931",,Dicmo,stela,yes
030,"CIL 03, 01814",Narona,Vid,funerary inscription,yes
031,"AE 2000, 1174",Pagus Scunasticus,Smokovice-Hardomilje,stela,yes
032,"ILJug 3, 1920",Pagus Scunasticus,Smokovice-Hardomilje,stela,yes
033,"AE 1996, 1215",Salona,Solin,titulus,yes
034,"CIL 03, 09737",Tilurium,Gardun,stela,yes
035,"CIL 03, 02040",Salona,Solin,stela,yes
036,"CIL 03, 02041",Salona,Solin,funerary inscription,yes
037,"CIL 03, 09939",Asseria,Podgrađe,stela,yes
038,"AE 1904, 0172",Salona,Solin,stela,yes
039,"CIL 03, 14932",Tilurium,Gardun,stela,yes
041,"AE 1991, 1291",Salona,Solin,stela,yes
042,"AE 1995, 1232",Tilurium,Vojnić,stela,yes
044,"CIL 03, 14946",Aequum,Glavice,stela,yes
045,"ILJug 3, 1916",Pagus Scunasticus,Vuna-Hardomilje,titulus,yes
046,"CIL 03, 02716",Tilurium,Gardun,stela,yes
049,"CIL 03, 02772",Municipium Riditarum/Rider,Danilo,stela,yes
050,"ILJug 3, 2280",Salona,Solin,stela,yes
051,"ILJug 3, 2601",Salona,Kapljuč,stela,yes
052,"CIL 03, 01818",Narona,Čitluk,funerary inscription,yes
053,"CIL 03, 02048",Salona,Solin,stela,yes
054,"AE 1940, 0177",Andetrium,Gornji Muć,altar,yes
056,"ILJug 3, 2090",Salona,Solin,altar,yes
057,"CIL 03, 08760",Salona,Solin,stela,yes
058,"ILJug 2, 0670",Pagus Scunasticus,Humac,stela,yes
059,"AE 1991, 1290",Salona,Solin,stela,yes
060,"AE 2003, 1330",Pagus Scunasticus,Vuna-Hardomilje,stela,yes
061,"CIL 03, 02717",Tilurium,Gardun,funerary inscription,yes
062,"CIL 03, 09761",Aequum,Hrvace,funerary inscription,yes
063,"ILJug 3, 1921",Pagus Scunasticus,Smokovice-Hardomilje,stela,yes
064,"CIL 03, 08764",Salona,Solin,altar,yes
066,Tončinić 066,Aequum,Hrvace,stela,yes
067,"CIL 03, 02678",Tragurium,Trogir,altar,yes
068,"CIL 03, 09741",Tilurium,Vojnić,stela,yes
069,"ILJug 3, 2093",Salona,Solin,altar,yes
070,"ILJug 3, 2600",Salona,Kapljuč,stela,yes
071,"CIL 03, 09742",Tilurium,Trilj,funerary inscription,yes
072,"CIL 03, 02071",Salona,Solin,funerary inscription,yes
073,"CIL 03, 02733",Aequum,Sinj,funerary inscription,yes
074,"AE 2000, 1176",Pagus Scunasticus,Grebine-Vitaljina,stela,yes
075,"CIL 03, 08732",Salona,Solin,funerary inscription,yes
077,"CIL 03, 09711",Tragurium,Trogir,funerary inscription,yes
078,"CIL 03, 14699",Salona,Solin,inscription fragment,yes
081,"ILJug 3, 2028",Salona,Klis,inscription fragment,yes
082,"CIL 03, 14248",Salona,Solin,inscription fragment,yes
014,"ILJug 3, 1949",Tilurium,Vojnić,stela,maybe
019,"ILJug 3, 2105",Salona,Solin,stela,maybe
025,"CIL 03, 13976",Tilurium,Vojnić,stela,maybe
040,Tončinić 040,Pagus Scunasticus,Veljaci,stela,maybe
043,"CIL 03, 09738",Tilurium,Vojnić,stela,maybe
047,"CIL 03, 13978",Tilurium,Gardun,stela,maybe
048,"CIL 03, 14933",Tilurium,Trilj,stela,maybe
055,"CIL 03, 08493",Pagus Scunasticus,Gračine-Humac,stela,maybe
065,"CIL 03, 09712",Siculi,Bijaći,stela,maybe
076,Tončinić 076,,,stela,maybe
079,"CIL 03, 14992",Burnum,Kistanje,funerary inscription,maybe
080,"CIL 03, 08763",Salona,Solin,funerary inscription,maybe
083,"CIL 03, 08767",Salona,Solin,inscription fragment,maybe
084,"ILJug 3, 3239",Tilurium,Gardun,inscription fragment,maybe
085,"CIL 03, 12909",Salona,Solin,funerary inscription,maybe
086,Tončinić 086,Salona,Solin,funerary inscription,maybe
087,"ILJug 2, 0733",Tilurium,Gardun,stela,maybe
